[407.4363959921195, 115]
[53.816629021934745, 100]
[53.76628307664808, 229]
[53.76253281514404, 161]
[53.67007788578532, 1]
[53.656956980611355, 273]
[53.65517554195272, 203]
[53.6057585622135, 288]
[53.6033255797406, 228]
[53.43920921078129, 181]
[53.349790271767674, 159]
[53.26457091103632, 193]
[53.2032756761598, 261]
[53.00458484310145, 48]
[52.99528399737704, 220]
[52.986228823823204, 10]
[52.984307129789684, 132]
[52.84426654473591, 226]
[52.80243726692726, 52]
[52.720786644422844, 289]
[52.642253699046414, 58]
[52.61038901657087, 18]
[52.55322420262557, 157]
[52.492584599425605, 235]
[52.31265874029435, 101]
[52.27103781219097, 210]
[52.19423062998636, 209]
[52.04707960862584, 169]
[51.88419380523328, 240]
[51.83359791336744, 31]
[51.604112246888974, 19]
[51.54958133352693, 234]
[51.451386043326586, 23]
[51.43903465173524, 125]
[51.28601065113815, 147]
[51.27431919000812, 0]
[51.243715287938, 140]
[51.24064414329388, 129]
[51.04179016681019, 239]
[50.91341887355374, 230]
[50.90416109157788, 254]
[50.81117721523376, 217]
[50.67080075302952, 69]
[50.620600748829865, 108]
[50.513929194533524, 2]
[50.507266623432194, 298]
[50.47118167034299, 55]
[50.320824386858106, 130]
[50.29807786159414, 274]
[50.29755283329776, 33]
[50.272127678087244, 294]
[50.24563885634532, 56]
[50.22546326152203, 90]
[50.173197591913684, 258]
[50.12748987044481, 32]
[50.030693363571835, 277]
[49.95314769664261, 87]
[49.930794630942906, 275]
[49.919995476880814, 154]
[49.737023898090236, 176]
[49.727380724935266, 302]
[49.666986171162215, 216]
[49.59587953859171, 198]
[49.56547417623259, 272]
[49.55164155899742, 34]
[49.51994058801613, 306]
[49.39972629615935, 20]
[49.39095881757201, 200]
[49.356294417587556, 214]
[49.33722931226846, 41]
[49.27243059166839, 279]
[49.114134330281715, 25]
[48.99696496655164, 264]
[48.98831201983984, 62]
[48.97858619413311, 148]
[48.92495855328491, 4]
[48.888791059087986, 247]
[48.876728189928905, 63]
[48.82492385528512, 68]
[48.75919319189434, 232]
[48.629247796336486, 297]
[48.62216203336984, 44]
[48.56968140524571, 305]
[48.493329935997664, 45]
[48.48238706669196, 270]
[48.46078590675347, 172]
[48.4578744523279, 66]
[48.456883209537985, 102]
[48.43719945189682, 293]
[48.419762251989845, 151]
[48.39875968679011, 199]
[48.372188663044334, 221]
[48.305701503331655, 276]
[48.28301872581779, 38]
[48.27808924549228, 109]
[48.23059708848968, 236]
[48.19593057295511, 265]
[48.05161922239835, 300]
[47.97545604898684, 29]
[47.92964526387201, 213]
[47.84692889524308, 237]
[47.59179891436049, 194]
[47.54019942009445, 3]
[47.51860772298357, 295]
[47.50665278066728, 43]
[47.454608314950285, 219]
[47.44009396417919, 218]
[47.3873236132732, 46]
[47.38065441575975, 27]
[47.3106605506232, 307]
[47.28647110773872, 110]
[47.22081098866838, 120]
[47.21407741912763, 245]
[47.16811035773115, 225]
[47.042887222663474, 271]
[47.03931761012382, 118]
[46.989047799171004, 187]
[46.9797318567077, 238]
[46.69772015214065, 248]
[46.692428599137784, 16]
[46.67922251850727, 126]
[46.64871370615084, 212]
[46.628356438179104, 166]
[46.609857281179686, 308]
[46.57169435491867, 15]
[46.5446594531139, 174]
[46.391898824442336, 13]
[46.3360435066596, 57]
[46.331477917781214, 249]
[46.31921401391596, 266]
[46.25251990370728, 283]
[46.09744121754492, 70]
[46.00132086509527, 285]
[45.96315183640176, 91]
[45.88876738172481, 39]
[45.8695082792472, 50]
[45.71389557789972, 259]
[45.683056246878046, 42]
[45.5780508083704, 253]
[45.46580109162851, 280]
[45.44024031450641, 131]
[45.33993710085096, 73]
[45.266554383404056, 8]
[45.109400956284006, 89]
[45.10162858040675, 21]
[45.04728462167655, 105]
[45.04495343501106, 59]
[45.013424480365146, 78]
[45.0088402029313, 211]
[44.94574786419302, 244]
[44.91489794179614, 204]
[44.8602111551441, 260]
[44.84903905821114, 12]
[44.72003002365233, 267]
[44.641591444626805, 144]
[44.582642829582, 255]
[44.533738746198324, 281]
[44.470361517629826, 153]
[44.442849702284704, 222]
[44.436511104742294, 241]
[44.38085608471338, 246]
[44.335892864899364, 103]
[44.233922767287474, 22]
[44.1488252510388, 14]
[44.093036493972704, 291]
[44.06159847317628, 282]
[43.93841565962304, 284]
[43.934283029412754, 79]
[43.86221127358488, 286]
[43.70345564539019, 152]
[43.62252456555013, 119]
[43.60244093944305, 6]
[43.500386839956604, 99]
[43.496636595596286, 227]
[43.47649776291466, 231]
[43.46245747479903, 164]
[43.25848118274034, 170]
[43.216652610736055, 88]
[43.11190437944215, 268]
[42.94499816893799, 256]
[42.90981054474344, 30]
[42.26645652263005, 86]
